Solution #,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Hold days,Average of transactions profit
Solution 656398,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,15,0.052496
Solution 656399,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,16,0.052042
Solution 1001487,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,16,0.048758
Solution 552975,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,16,0.047475
Solution 786959,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,16,0.045569
Solution 1001484,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,13,0.045229
Solution 786957,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,14,0.045224
Solution 786956,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,13,0.044148
Solution 786958,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,15,0.043872
Solution 656397,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,14,0.042493
Solution 1001486,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,15,0.041874
Solution 786955,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,12,0.041557
Solution 1001485,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,14,0.041446
Solution 552971,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,12,0.041426
Solution 62478,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,15,0.041394
Solution 786954,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11,0.041305
Solution 9231,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,16,0.040529
Solution 1001482,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11,0.040280
Solution 552974,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,15,0.038975
Solution 552970,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0.038377
Solution 787466,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11,0.038269
Solution 656395,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,12,0.037965
Solution 1001480,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0.037943
Solution 62479,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,16,0.037891
Solution 1001481,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0.037585
Solution 552972,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,13,0.037466
Solution 656396,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13,0.036964
Solution 1001483,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,12,0.036340
Solution 552973,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,14,0.036319
Solution 913487,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,16,0.035775
Solution 9228,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,13,0.035772
Solution 62476,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,13,0.035739
Solution 787465,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10,0.035720
Solution 1015822,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,15,0.035620
Solution 129039,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,16,0.035600
Solution 1001474,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0.035255
Solution 1001475,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0.034938
Solution 9230,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,15,0.034798
Solution 787464,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0.034210
Solution 552968,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0.034204
Solution 1001477,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0.033960
Solution 1044559,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,16,0.033808
Solution 786953,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10,0.033761
Solution 1001476,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0.033470
Solution 1044527,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,16,0.033461
Solution 656394,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11,0.033294
Solution 866319,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,16,0.033138
Solution 552969,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,10,0.033047
Solution 62477,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,14,0.032965
Solution 1044558,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,15,0.032779
Solution 866318,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,15,0.032773
Solution 520,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0.032693
Solution 62475,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,12,0.032539
Solution 903182,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,15,0.032464
Solution 1100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,13,0.032394
Solution 325646,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,15,0.032366
Solution 913486,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,15,0.032251
Solution 552966,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0.032096
Solution 9229,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,14,0.031941
Solution 519,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,8,0.031882
Solution 794639,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16,0.031732
Solution 532493,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,14,0.031697
Solution 832009,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,10,0.031532
Solution 1001479,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0.031462
Solution 984075,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,12,0.031411
Solution 521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10,0.031276
Solution 656393,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10,0.031152
Solution 552967,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,0.031054
Solution 866316,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,13,0.031004
Solution 832011,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,12,0.030908
Solution 721933,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,14,0.030519
Solution 619534,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,15,0.030503
Solution 832010,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,11,0.030475
Solution 1015823,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,16,0.030471
Solution 1044557,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,14,0.030464
Solution 794638,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,15,0.030389
Solution 28686,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,15,0.030380
Solution 46091,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,12,0.030355
Solution 903183,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,16,0.030335
Solution 787463,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,8,0.030299
Solution 569359,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,16,0.030250
Solution 1101,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,14,0.030199
Solution 28687,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,16,0.030162
Solution 327695,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,16,0.030135
Solution 32841,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10,0.030094
Solution 325647,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,16,0.030029
Solution 775182,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,15,0.029801
Solution 569358,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,15,0.029708
Solution 866315,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,12,0.029676
Solution 129038,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,15,0.029654
Solution 32839,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,8,0.029573
Solution 984076,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13,0.029559
Solution 569357,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,14,0.029550
Solution 984074,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11,0.029497
Solution 1102,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,15,0.029403
Solution 663567,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16,0.029384
Solution 34895,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,16,0.029230
Solution 185355,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,12,0.029228
Solution 458761,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0.029214
Solution 533516,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,13,0.029174
