T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
AAPL,01/26/2016,22.804612267068045,02/16/2016,22.173480987548828,-0.027675597906596645
AAPL,05/19/2016,21.846802279324734,06/09/2016,23.00331687927246,0.05293747730953848
ADBE,10/07/2022,291.3599853515625,10/27/2022,318.6499938964844,0.09366422953376059
AMZN,01/04/2023,86.55000305175781,01/25/2023,97.18000030517578,0.12281914360027368
AVGO,01/08/2013,24.520687882790874,01/29/2013,26.122652053833008,0.06533112687129897
AVGO,07/31/2018,191.55019993763923,08/20/2018,174.6835174560547,-0.08805358849573447
CHTR,02/01/2016,169.63999938964844,02/22/2016,177.0500030517578,0.04368075742024283
CHTR,05/16/2022,469.3699951171875,06/06/2022,484.7200012207031,0.032703424298954585
CMCSA,01/25/2016,23.657415945856748,02/12/2016,24.387575149536133,0.030863861266608946
CMCSA,04/06/2018,30.587259469745884,04/26/2018,29.765636444091797,-0.026861609699514327
CMCSA,12/23/2021,47.36048226617781,01/13/2022,49.43631362915039,0.04383045238656746
CMCSA,07/06/2022,39.01185700565992,07/26/2022,41.6959342956543,0.06880157716165539
CMCSA,10/14/2022,30.053302611481975,11/03/2022,29.915441513061523,-0.004587219587899169
CMCSA,03/21/2023,36.489460046068615,04/11/2023,38.380001068115234,0.051810605573767786
GOOG,06/18/2019,55.484500885009766,07/09/2019,56.24150085449219,0.013643449204874083
GOOG,10/06/2022,101.5,10/26/2022,94.81999969482422,-0.06581281088843134
GOOGL,06/18/2019,55.57500076293945,07/09/2019,56.214500427246094,0.011506966361268953
GOOGL,10/06/2022,100.68000030517578,10/26/2022,94.93000030517578,-0.057111640669158824
INTC,10/26/2012,15.723490441345612,11/19/2012,14.77637767791748,-0.0602355289343171
INTC,02/02/2016,24.55558261838027,02/23/2016,23.429399490356445,-0.045862610776779465
INTC,07/13/2017,29.01626464687076,08/02/2017,30.96871566772461,0.06728815871426824
INTC,11/17/2020,42.20217378682067,12/08/2020,46.75908279418945,0.10797806365111597
NFLX,09/24/2012,8.122857093811035,10/12/2012,9.1899995803833,0.13137526294600732
PYPL,10/13/2015,32.599998474121094,11/02/2015,36.9900016784668,0.13466268128296466
QCOM,12/02/2014,55.50159735776807,12/22/2014,57.62705993652344,0.038295520848786624
QCOM,07/07/2022,127.42911758161488,07/27/2022,149.63778686523438,0.17428253216456163
SBUX,10/03/2016,47.27747250374119,10/21/2016,46.866729736328125,-0.008687917218513717
SBUX,02/22/2018,50.30393026471152,03/14/2018,52.893310546875,0.05147471119130321
SBUX,03/30/2020,62.332933874745194,04/20/2020,70.53659057617188,0.1316103092132885
SBUX,05/16/2022,73.35497993457052,06/06/2022,77.30951690673828,0.053909591082909915
TMUS,03/01/2018,60.779998779296875,03/21/2018,62.59000015258789,0.029779555933580334
TMUS,05/24/2018,57.15999984741211,06/14/2018,59.529998779296875,0.04146254265590356
TMUS,12/10/2021,114.06999969482422,12/31/2021,115.9800033569336,0.01674413664608819
TMUS,02/01/2022,107.72000122070312,02/22/2022,123.51000213623047,0.14658374244886846
TSLA,03/23/2015,13.233332633972168,04/13/2015,13.985333442687988,0.0568262605887582
TSLA,09/22/2016,13.760000228881836,10/12/2016,13.434000015258789,-0.023691875595959803
TSLA,03/29/2019,18.579999923706055,04/18/2019,18.21733283996582,-0.019519218795986684
TSLA,06/07/2019,13.666666984558105,06/27/2019,14.855999946594238,0.08702436105159757
TSLA,10/26/2022,219.39999389648438,11/15/2022,194.4199981689453,-0.1138559545235217
TSLA,01/11/2023,122.08999633789062,02/01/2023,181.41000366210938,0.4858711532765342
TSLA,05/10/2023,172.5500030517578,05/31/2023,203.92999267578125,0.181860266989452
TXN,09/10/2015,38.53546223954056,09/30/2015,40.2929801940918,0.04560780778043663
TXN,03/03/2022,165.63911539674,03/23/2022,172.73851013183594,0.042860617301000464
Mean profit,,,,,0.043872113992741324
Std profit,,,,,0.05169215690838618
